ok,status,latency_ms,tokens_generated
True,200,4805.195331573486,150
True,200,8482.531309127808,150
True,200,11669.770956039429,150
True,200,15332.995176315308,150
True,200,14044.90327835083,150
True,200,13605.807781219482,150
True,200,14145.6880569458,150
True,200,13727.795600891113,150
True,200,13855.968952178955,150
True,200,14092.818975448608,150
True,200,13820.935010910034,150
True,200,13862.638235092163,150
True,200,13655.552864074707,150
True,200,13848.644256591797,150
True,200,13817.24214553833,150
True,200,13796.465873718262,150
True,200,14060.365438461304,150
True,200,13601.112604141235,150
True,200,13636.676788330078,150
True,200,13951.602220535278,150
